,content,mark
1493100,万科复牌东,-99
4540321,都是散户在买，是不是可以理解成昨天盘中开板出,-99
3422472,这垃圾已经废了,-99
4796589,前几天喊挂单护盘的哪去了？套路真深！,-99
2768720,满仓套30%，就这么割肉走人吗？合纵科技太令人,-99
5037427,她妈的，前天才卖，严重操控股价,-99
1222771,2个点的涨幅都没有！真她娘垃圾！就是卖,-99
10820,引发第一个爆点，产品进入中高收入阶层,-99
3767529,这个股近段时间没有戏了,-99
4212064,现在有请8块的华商文化发言，12.8卖出的那些人,-99
373743,呵呵，最近买入的都不给平仓的机会，弱爆了，阴,-99
560961,600280,-99
4930833,能中标国家电网，说明了公司很有实力……,-99
501738,预测球球下一次停牌时间 我猜明年6月,-99
2446300,投资者不应仅仅在等到市场价位跌到极低时才购入,-99
4191308,我来说句公道话，不是基本面不好，也不是题材不,-99
911506,再来两个跌,-99
1806418,最垃圾老大ST锐电翻番，带领ST集体封停,-99
1200560,长江通信11月29日盘中跌幅达5%,-99
2663890,泰禾开始尾盘拉升，一拉就成功做T，操盘手乖，,-99
5339928,狗庄,-99
823716,截至7月31日，117家锂电池概念相关上市公司中，,-99
5184850,这么放空你还不涨估计散户还很多,-99
547207,目测，它未来要火！ 2017-04-27 Aki 京东方BOE\t,-99
2182486,空旷的天空中缓缓地漂浮过来几片漆黑的乌云,-99
5143782,哈哈，为他人抬轿了,-99
5488934,雄安，一带一路，高铁，核电，建材……这么多题,-99
3849638,告诉你们咱为什么不怕,-99
1648537,午后反弹空间不宜期望过高，3400点附近宜高抛操,-99
914174,真的不让老子买吗，操,-99
846025,你们都想多了，不跌就好了，这些数据只是并购后,-99
4797177,今年中了8个新股，我的判断是10-13个板，应该在,-99
5548059,下周有好戏看,-99
1591926,我是一个脸皮很薄的人,-99
5076575,难道有公告了吗,-99
3925852,这股票炒的，股指大红，下面绿一片！,-99
1478748,我记得以前有一个朋友还说过以后吉恩控股股东姓,-99
4470446,你真实无敌啦，雪峰股份,-99
4927160,“洒家吃肉”你这个SB，以为凭你这个狗托和你的,-99
4108049,无语,-99
2257672,熊霸天下 [心碎],-99
5510889,强力洗盘我中意,-99
1013611,虽然被套挺郁闷 后来看了一下 个人判断 ：拿着,-99
388421,来吗,-99
725252,大家快上车，见底了。,-99
91769,"看好看空都别刷屏,理性一点",-99
4632361,建议换仓：300305裕兴股份：细盘：业绩好：可以,-99
