,content,mark
796100,尼玛 这样还分什么红？装逼卖傻～[大便],-99
5544085,趋势：进局出局看趋势 量价无形要知止,-99
3838621,看样子今天可以涨一分,-99
4247930,603085:天成自控第三届董事会第二次会议决议公,-99
1949312,上证指数低开高走,-99
254843,而且在这次股东大会上,-99
2822506,假钢铁。狗庄狂出货。换韶钢了。,-99
98868,某公司统计，2017年股民人均获利2.3万元，你获,-99
5341184,就是个小盘股，大家都不看好，靠谁涨,-99
2570694,这是任老以前的公司，看他的远见就值得买!,-99
169205,白马非马，走为上计！不贪婪才是高手智者也！,-99
924810,中标那么大的项目工程，为何迟迟不发布[为什么],-99
1287122,下午弄个涨停啊  到底动动哪,-99
4338049,所以才让我们在这里有信息看、有博文瞧、有股票,-99
1930501,吸血鬼y,-99
1734191,#这只概念题材烂庄股后市必复制年初的铜峰电子,-99
5173177,23.09分，卖给他！,-99
5205153,两市共成交金额3970亿元,-99
2270437,为什么还不出公告呢？,-99
1480376,操他妈的，大盘升了都不行，现在倒数板块第四,-99
3721625,新增投资者数量稳定增长，,-99
1194168,雄安新区规划建设目标明确：资金持续涌入7股 机,-99
1716621,傻逼海航,-99
746201,公司经营能力有限，没水平。多少年了在全国都没,-99
1549023,还在等消息吗,-99
1924183,举吧欢庆！涨两分钱了！,-99
1123807,给我拉起来 这振华重工的高管是不是不想混了,-99
1877280,盘中推荐600150中国船舶，拭目以待！,-99
4825725,献。然而，任何事,-99
4761873,临危不乱才能发财,-99
1933238,换句话说 ,-99
899192,一个充满了投机炒作的市场,-99
4437964,涨得太慢了，别人都涨停了,-99
3616892,拖累了整个电子板块后腿,-99
4894603,主力今天在增仓，看不懂啊,-99
4133275,合理价格40至48元之间！,-99
4261673,"当年忠贞为国愁,何曾怕断头，如今天下红遍，江",-99
768032,看见没，快跑吧，没错,-99
676220,垃圾战斗机,-99
2815042,大家发财了，明年开盘大家说说多少个涨停能打开,-99
1275901,宁波孬种，还有脸活着,-99
111067,今天我大A股爆涨两个点哈哈,-99
3709972,公司的狗腿子又出来上班了  砸吧。压吧。随便吧,-99
1613043,三季报很乐观证明信威不是被动重组，砥砺前行看,-99
3004824,航天长峰生产医疗器械的，19.5元买进6000股，坐,-99
826220,名字和代码才是关键，建议改个名字,-99
4234357,明天跌停开盘了哦,-99
5492837,死垃圾,-99
2139299,屎克螂打喷嚏，满嘴喷粪,-99
840167,距中报公布时间20天了，华业定会在下周开始腾飞,-99
108193,等加速赶底的出现！,-99
1065245,声明,-99
3020609,股市每天都开门机会与风险同在切勿追涨杀跌。。,-99
4335531,感谢春风,-99
5182669,跌呗。看你能跌到什么时候,-99
2177860,每天坚持做差价,-99
820046,该公司并无保壳之忧k,-99
1567109,这几天脎的太爽了!老子又好买便宜股票了!,-99
4678347,一根放量跳空向上的大阳线后，一根小阳或一根小,-99
723270,没量，涨不起来,-99
5281284,人心已散\t,-99
2681836,强者恒强，有望突破前高,-99
738475,深圳市大生农业集团有限公司排名11,-99
5052981,今天唯一天地板,-99
1163133,护了西盘、死鱼一条,-99
3973846,昨天超大出，今天大户出，朋友们可以看出庄的意,-99
1845926,走吧朋友们.昨天我叫你们换到000012和600570你,-99
3097552,利空，军改民，这种垃圾公司扔在市场上就是淘汰,-99
4020928,有能力给阿芸将来的生活带来幸福。,-99
2100227,艹尼玛风险是涨出来的,-99
503320,翻红下也好啊,-99
5287185,正平股份12月11日快速反弹,-99
5067146,603685:晨丰科技首次公开发行股票并上市招股说,-99
4705532,冲高回落的走势，已经是惠达卫浴每天的走势。,-99
2799738,葡萄酒板块节前将掀起涨停风暴，福建水泥年年亏,-99
1899080,股海无涯，何处是岸，能在股市找到一条稳定盈利,-99
5456925,有谁拉高卖了[傲][傲][傲][傲][傲],-99
5084478,不破3000点不踏实。,-99
4365571,这次又要跌到多少?太恶心!,-99
1894554,现实版“人民的名义”：铁腕监管者项俊波的反转,-99
3097931,呢玛，跑上来就卖，你去死吧！,-99
2031351,溧水农行,-99
4706392,双十一至少5个亿收入,-99
3697027,周一破四块了 还买是疯了,-99
5376291,主力炸盘，我叫它死得快,-99
5468897,有没有回马枪？,-99
1104577,熙菱信息的价值到底在,-99
247491,就不能干脆点吗？分分秒秒在看大盘脸色，没出息,-99
4574151,只能说真垃圾,-99
4045923,得人民者得天下，试想一下要是人民网和360合并,-99
4576948,真是看不惯旳万家吧已,-99
1558834,闪崩？。,-99
3811105,要严厉处理哪些恶意砸盘的人抓起来,-99
1583427,谁还在卖，傻不傻啊。[牛][牛]。,-99
4015725,万手，看来要涨破天。湖南有军工血缘,-99
215845,"mlgb,还破位了！",-99
1604460,中国动力(600482)融资融券信息(09-15),-99
5207406,又跳水??,-99
4287798,公司问题大了，目的就是圈钱减持,-99
3784002,嘉泽小王子  复活,-99
1996249,管理层无能董事长无知，没有长远规划战略眼光，,-99
3868114,今天让你捶胸顿足！,-99
1048610,对复选后的股票再进一步选择其中那些底部,-99
1852991,慧球，你这个黑庄，阴，险，毒，竦，黑，，，，,-99
3164163,8月小心，爱信不信！买卖自由！,-99
2218658,庆贺游久游戏破十，明天继续,-99
3309689,"次新股跌成狗 股市缘何""一放就乱，一管就",-99
2381935,市场的大幅调整完毕，部分个股的投资价值重新获,-99
2336457,#坚决不碰。,-99
4608731,"(上互动)我乐家居：2016年净利润为6,687万元",-99
3899288,什么样的？,-99
5272876,看到没，今天大单一个没进，这是要作死的节奏啊,-99
3591533,虹到底是金子，还是狗屎？ 我认为，长虹具有两,-99
1267826,6月阳线收官，7月更上一层楼！（收评）,-99
4870524,500手全仓已进，不信你不涨，一个月内必到25元,-99
101335,为什么出货那么坚决，应该深思,-99
3939267,中煤能源(601898)融资融券信息(09-25),-99
687835,老大：涨一点没意思，要涨就拉涨停板！有种,-99
69437,昨天卖出万累郭得！,-99
2818927,公告;江南嘉捷火箭发射 天业股份撸啊撸 赶快换,-99
3219870,明天还有低点。,-99
294032,直接快去跌停！[牛][牛][牛],-99
2669463,有情不收,-99
4433087,还有人玩这只股票吗？,-99
1751515,还有不服我的人吗？[好逊][好逊][好逊],-99
3565316,平价以上售出的股票1900年1月价格 1948年6月30,-99
3490701,低开后平稳上涨且有大,-99
3505144,多地发布禁令 柴油车或将被取代 腾讯汽车2017-0,-99
4156062,终于下来了，嘿嘿，明天大跌就再接回来,-99
4851579,复牌之日，即是涨停之时，主力，你不会就差我那,-99
915384,在股市绝没有免费的午餐,-99
4446009,不赔了旳持此股中了一,-99
3446120,破10开始建仓[滴汗],-99
3511025,布局全球超级品牌底部良机，回避天花板,-99
745714,乡间依然清新,-99
3332996,恭喜那些自以为很聪明的人踏空,-99
1299689,明日走势预测,-99
4376225,等待35再次入场,-99
636102,就是不交筹码。气死主力,-99
854565,看来今年业绩不错！跟到年底！。,-99
1820290,妈的，今天好惨,-99
93045,这个王八蛋还没吃够,-99
4337607,终于知道沪工为什么跌了，因为老板姓舒（输）怎,-99
1453030,节后布局大飞机概念股。,-99
4763946,视复牌无疑是一种大风险，,-99
5326131,大盘大涨狗逼合纵跌，大盘下一点，狗逼合纵暴跌,-99
2046622,沪科能不能退市？,-99
3590791,希望你把缺囗补掉。,-99
590773,芯片股高潮过后一地鸡毛！,-99
1324581,这绝不是什么温州帮在出货！,-99
3405995,主力，我已经补完货了，无法再加仓，你反弹了几,-99
3156622,广日是俩市上市公司的悲哀。,-99
4799929,要有根中阳或是长下影线的十字星，才说明探底。,-99
5025880,浙江的企业真是神通广大 卖凳子的都能上市,-99
5475165,上海天洋发射,-99
851376,600243:青海华鼎2017年半年度报告,-99
4931600,缓上攻10连阳，星期一开始，欢迎散户加仓竞争,-99
4329205,走了，垃圾,-99
614117,哥来建仓,-99
4722159,估计第三季度业绩不好，艹，买这股倒血霉，,-99
3268318,宝胜不涨是负债太高(70%) 一般电缆企业负债只有,-99
88946,可以完全肯定的说，说破发的手上是没有一股华电,-99
1710319,逢拉高减仓，永远错不了！先下手为强，后下手亏,-99
1151667,5月上旬,-99
4388071,有三种人是可以左侧交易的，第一种是内幕包活公,-99
4255291,宁波富邦、宁波精达的主力机构都他妈不是好东西,-99
92555,拉两桶油,-99
5491691,火星是垃圾中的战斗机，买啥跌啥；看看他买的新,-99
13292,探底反抽…,-99
90912,近期MSCI即大摩指数基金宣布。,-99
4548467,一群大傻逼,-99
4731329,可笑至极！宣誓拿到二三百，结果开板比谁跑得都,-99
3809252,特朗普称库克已承诺在美国建3家大型工厂 苹果拒,-99
216470,完美！下周开始加速上涨。,-99
2679110,财新网（记者 张欣）商办项目限购成了烫手山芋,-99
1138604,垃圾股的威力显现出来了  华发大垃圾,-99
4026279,今天压力位在6.45,-99
4829700,这种弱势次新，往往都是最后补涨品种，无法和建,-99
1126012,今天冲不上了。明天危险！,-99
3657641,还好跑的快！,-99
4951005,都赶不上云铝？,-99
4962193,生物医药打,-99
933505,今天主力有偷偷卖了8000万。,-99
946546,"茅台不死,军工不起...",-99
4575526,完了，小主都没有。,-99
1954433,预测本波反抽的高点为32120左右。,-99
5239172,我艹今天又亏一个板,-99
4966509,今天会泛红吗？,-99
5125770,这个股还要跌，劳资准备割肉了，真日啊,-99
1446843,东旭光电董秘好！请问建设期12个月是从哪年哪月,-99
1631257,快跑啊,-99
361296,素，实施创新驱动,-99
