,content,mark
2361863,[牛][牛][牛][牛][牛],-99
1712740,这样不计成本砸股价的难到不是妖.没人捉啊,-99
1831300,垃圾！,-99
721655,重大利空，新湖期货最起码值五十个亿。被几个亿,-99
4507212,双针探底纯粹是个大忽悠，跟这个股市讲技术无异,-99
2287515,公告又不发了？股市你们家开的？,-99
374526,漂亮50终将成为炮烙50。,-99
5221156,日发布的《2017年第二季,-99
3407417,分布式爆发助力隆基业绩增长，扩大单晶市占率,-99
5542574,603996:中新科技前次募集资金使用情况公告,-99
4563287,应流股份上市至今没送转过红股 股本没有扩大,-99
2353777,飞天鳄鱼，你自己不赚钱，说驴市管用吗？？,-99
3287145,呵呵，这是先减持然后再增持吧，没良心,-99
5074326,现在赶紧买入。,-99
4871554,今天所有散户每人发20万，百分百涨停,-99
2183847,二苟增持的钱，挪用的爱建,-99
517416,新日恒力 大家估计一下，2017中报是亏损还是盈,-99
5366428,周一准备在28元买入一千股新华网，在27.50元继,-99
991836,IPO审核趋严 部分上市,-99
2915828,宁夏建材才是高送转预期股，净资产9元，公积金4,-99
753088,35个环保股，中再涨跌幅排34位,-99
1789016,2017年中期策略会报告。,-99
5286058,大爷的真的要破发吗，垃圾,-99
3185037,不开板机构怎么有机会建仓[大笑][大笑][大笑],-99
4655606,股价的不断下跌及业绩的提高。,-99
735310,大单对倒的杂碎哦,-99
2451359,港股大跌,-99
3591509,我们散户的资金实力比不过大资金，要坚持价值投,-99
272142,看不懂,-99
4045139,垃圾股有无退市的风险？前年每股25元买的何时回,-99
5408608,周五跌停买了5手，昨天补3手，盈利不多，明天就,-99
2244087,怎样区分反弹和反转,-99
1940029,没吸够筹码？开了马上又封板。？。,-99
4496026,以为会低开 妈的 不给加仓机会啊。,-99
761953,站上4元,-99
981005,今天这个大量是不是员工持股又买入了？大家分析,-99
1114008,价格要压下来 这样有利于回购 同时  重组重启 ,-99
2072788,1240就行然后过了,-99
5109698,买股票还是要买国企。私企干几年上市就是为了脱,-99
2884556,跌穿4元可以考虑关注,-99
3606007,这种公司还推向市场？！,-99
4383497,没下来，接不到,-99
4131626,但是也应注意劳逸结合,-99
4432456,你见到的第一个业绩按级数增长的好股吗？第二个,-99
3026727,北人股份 明日涨幅趋势势不可挡，万不可急,-99
4631179,同志们今天就大量买进,-99
4850931,完了,-99
838957,坚持就是胜利,-99
3515798,下跌是机会在买一些,-99
5299453,来看看散户的心路历程,-99
605658,机构间对倒压盘，洗盘。,-99
1453383,见过的最恶心的股票 最垃圾的公司 绝对没有之一,-99
2265769,欧银决策者同意下一步行动是缩减购债 美债收益,-99
5017641,把昨天的那个缺口补了吧,-99
4811938,敢妳全家，阴尼玛那么多天还要阴？,-99
1334749,十二块五附近等着你，砸锅卖铁全仓进明珠，锁仓,-99
5064933,603685,-99
3647332,"5G概念搅动股市低谷, 引爆整个电信行业",-99
3860279,波波将成为第二个珠海港,-99
1692024,未分配利润每股近9元，拿去银行利息一年也值好,-99
1720403,十一名员工子女喜获方威励志奖学金,-99
3292488,杂种隐形材料研发成果去哪了！,-99
3020901,持有王府井的兄弟姐妹早上好你们去看一下东方财,-99
3408474,隆基股份(601012)融资融券信息(08-10),-99
5055681,差不多了，明天吃肉，后天喝汤,-99
1889842,等于一天要抽走60亿的资金（以每个新股融资6.5,-99
1564008,主力把它打下去。,-99
4843956,你TM真能跌,-99
4245216,603083:剑桥科技首次公开发行股票上市公告书暨2,-99
2645556,一个还不到5元的10送11股的股票，非常引人注目,-99
4255196,这不跑就是第二个道森股份啊[心碎][心碎]割肉了,-99
2517950,600730:中国高科2017年第三季度报告,-99
824807,以茅台为代表的漂亮牛,-99
3225354,骗子公司配合庄家利好出货,-99
5363524,洗洗更健康,-99
3101938,这股可以作为战时的避险股，但还是有下跌空间，,-99
507453,操,-99
3056476,今天指数行情，分化严重,-99
4750845,无庄不散:明天怎么操作。我还在。,-99
985727,各位散家，别怕没事的，今天半仓买入，下周再跌,-99
2987355,熊样,-99
854474,议.结构牛市需有[度] 百十只蓝筹营造繁荣 难受,-99
1145034,这是怎么了？,-99
3580356,[献花]我在大东南吧，有1.4年了，在这个吧造就,-99
4595531,这个股很快就要拉，大家注意了！,-99
4923272,此股以死，,-99
3018812,一大半都是,-99
883733,002123的走势30分钟,-99
5147492,潜力股,-99
71312,图形已走好，进入上升通道。,-99
2752301,第五子浪上攻今日将开始！,-99
1449826,我真的扛不住了，我就是一名普通的打工仔，每个,-99
99030,中信返佣网：伊朗伊拉克签订原油交换协议 伊拉,-99
2883149,世茂股份(600823)融资融券信息(09-06),-99
2489536,六块见\t,-99
1477842,稳定健康发,-99
5515755,为和机构不,-99
3108127,地产，水泥。又在拉升。,-99
169430,率决议(同日英国、瑞士、日本也将公布决议)，宣,-99
953336,咱就喜欢娘们儿 花多少都愿意。,-99
4543034,红的时候跑了，今天跌停,-99
233989,10月30日后分批买回来（10月30日）,-99
396757,不买600114东睦股份了,-99
5265767,急跌进点,-99
4747699,年报不会差,-99
3363503,明天破4.98元,-99
4863523,这一周至少应该会有一个放量长阳,-99
2112036,复旦复华(600624)融资融券信息(09-01),-99
3469806,再发一次打脸帖！,-99
3283399,最后一浪的急跌开始，坐稳了。呵呵,-99
1979774,这一波看高16,-99
4061026,科的老股民。,-99
4770986,帖子都少，无戏,-99
291541,算准大盘股指上涨，哪知长油不涨，没算准！,-99
1370005,拉个涨停爽死我吧,-99
52380,持仓观注快一年，发现这个公司出人气的没几个，,-99
4493948,我等你跌，跌到13,-99
2102728,下周一行情,-99
2233826,博傻们，好好学习点知识，一份判决书在那儿争论,-99
3303876,全假集团！一群假账！,-99
4240590,傻庄，有本事再跌停,-99
3925514,能镇得住亮仔的人，好像只有我华少[大笑]。,-99
3071605,今天估计跌呀.[傲][傲][傲],-99
1129312,套死一大批、,-99
5532834,操盘手你在那自己买自己卖有意思吗，逆天而行才,-99
2443495,五千多散户伤心离场,-99
1571750,看不,-99
5211280,以后坚决不买这种股票了，心脏受不了[滴汗],-99
254685,承蒙查尔斯.麦高瑞克先生（《财务状况分析》的,-99
4394024,【龙虎榜】缩量一字板的背后，竟是他们在堵板买,-99
4677266,远离此票，远离此票。。。。。日k线双肩顶型态,-99
2431150,创业板不买，证金买创业板能证明没有利益输送吗,-99
2501351,怎么会有像华电能源这么垃圾的机巴股呢？他妈的,-99
134311,会不会突然拉升三、五分钱？我在4.08元挂了减仓,-99
3466625,虽然这类上市公司暂无保壳之忧实际上,-99
5013560,今天没有护板，也没有卖，早上6850加仓500股，,-99
604792,600176:中国巨石对外担保公告,-99
3042179,做生意有很多种,-99
4250562,先达股份适合做蓄水池，有好的目标就出掉一部分,-99
5331486,太平鸟，报喜鸟，都他妈不是好鸟。,-99
2895978,希望兰生股份即将出台的国资改革重组方案能做成,-99
4776317,1000手砸下来还没跌停！有卵用！,-99
2101779,期货概念，明天有必须有表现,-99
4572607,记住，高抛低吸是正道,-99
1520977,两市横盘震荡 人工智能和雄安板块走高21日，两,-99
1267152,联创光电(600363)融资融券信息(08-29),-99
793112,没跌停，可惜了,-99
2944793,你们完蛋了吧 快逃,-99
4808503,操盘手精神上有问题，或者多年吸毒，有狂躁症,-99
4879626,有车有房滴，基本上都有意愿置匝荣泰椅，好轻松,-99
5465595,进来一看，好多唱多的。只有跌，我还是清仓走人,-99
4455965,水土不服只服你！,-99
2698421,"垃圾票一只,没量",-99
2111497,.钢铁板块集中十月公布三季度预盈公告 机会 银,-99
2556490,600230一季业绩超去年绩优股 二市就此一家 何况,-99
4730899,金辰股份(603396)龙虎榜数据(10-30),-99
2772972,2700呀！快点消灭那些压在上面的杂种们吧！,-99
4372013,科华控股:2015年半年度报告,-99
3577464,稀有金属(北方稀土),-99
1688981,十多年来方大集团向社会各界捐款超4亿元,-99
4208882,今天，明天，后天都不会有戏，就是一路下去。珍,-99
3233686,但今年11月26日,-99
2514166,笑哈哈翻倍股 晨鸣 季报隐藏业绩核弹！实际每股,-99
5077430,皇氏集团吧002329:即将启动龙头万达私有化 早教,-99
5247065,今天脑昏又会扯点啥,-99
337413,同方是个垃圾加工厂而已 收购垃圾再包装 市场不,-99
1991267,也只想回本离开这个吸血鬼,-99
2442759,虽然在7.78收了点破烂。但是看到不是底。考研7.,-99
2818439,庄家吃货差不多了。下周日线三羊开泰，周线级别,-99
5258486,明天从我做起开始加仓在30元以前消灭一切做空的,-99
5215169,真邪恶，这逼贱到极点了,-99
5519045,带头大哥今天哪去了，下午我来拉，买10手玩玩，,-99
265917,2017年中报或年报最有可能高送转的公司—海利尔,-99
5309901,多重利好和继续发酵下煤炭板块,-99
1802103,眼下，除上证五零外，假股指，真股价。为了流动,-99
5244325,等25回本了，要能有多余的都给高管们烧了，住你,-99
3823904,关于宣亚重组映客出现这么多阿猫阿狗，在这期间,-99
