,content,mark
5383100,告别晨光文具。 出于对实体的偏好，一直长期持,-99
1685776,虽有反复.,-99
5509437,看这狗庄多嚣张，集合竞价444,-99
2842748,人我,-99
3205045,恭喜杭银上涨一分钱，涨幅巨大，排列第一，倒数,-99
2525149,今天清仓新梅！！不玩了～～耗不起,-99
4513219,不好、跌停进了8000股,-99
2931272,中国的股市根本是不能够投资的,-99
2973399,大盘与个股难以分说的关系.,-99
1433701,湘电股份(600416)融资融券信息(09-01),-99
2632179,呵呵，垃圾不知不觉今天又轻易创出新低，不知那,-99
1258655,积极信号？证金公司开始“翻牌”创业板，两年前,-99
4415589,[为什么][为什么][为什么],-99
3226272,继续停牌是最好的，等大盘4500在复牌,-99
1995164,要计提商誉了！必然导致年报巨亏，下跌原因找到,-99
1401343,一会跌停…… 不要问为什么……,-99
3530860,王世安极有可能被德润环境大股东换掉的可能：,-99
4262795,冒什么人看你了死了,-99
770720,可怜的太龙药业,-99
1051880,非常想瞬间做完作业l,-99
1416156,但不排除短线反弹有腰斩的可能性。,-99
2013273,全仓杀入了，你爱涨就涨不涨拉到，有的是时间同,-99
4771973,今天出了 赚了5个多点不贪了！,-99
23735,我只能说拿佛山照明是真磨人！但是今天看到庄家,-99
181551,从十年前的京东方落后三星3代技术，追到今天只\t,-99
1677640,这股有庄吗？跟死了一样,-99
3302637,见鬼，抛了就涨。,-99
2116112,23123,-99
4410065,我在30以下等你,-99
4767929,砰，一声,-99
960160,14：30能涨停吗？,-99
67714,恭喜宝钢钢铁板块排名第一，倒数的。,-99
4686153,最终必然高收益！,-99
3577179,这公司管理层实在不像话了！诅咒他们下次地震全,-99
1713129,早上填单15.6到了下午看看真的成交了，不知道是,-99
4696162,快换森霸股份,-99
4216686,狗日的什么情况，天天跌成狗屎…,-99
4368017,说实话，华微涨幅与大盘和行业指数的涨幅都在合,-99
3644668,[牛][牛][牛][牛]这时候停牌不知道是几毛钱意思,-99
2390238,PPP概念再受市场资金追捧 三大领域掘金补涨股,-99
2215353,还好9.58,-99
1539178,600461:洪城水业2017年第三季度报告,-99
1999253,我准备2．7元卖出z,-99
2978705,真丢人，难怪上海的股都是外人炒，自己炒都知道,-99
2395390,此股真垃圾  横几天 明天如低开低走 全清空   ,-99
3075648,中炬高新(600872)融资融券信息(01-05),-99
528581,已投反对票，我保证有5万股的份额，虽然不多，,-99
2553252,特华投资6个月无成为第一大股东意愿。,-99
2270747,看到吧里沸沸扬扬，又忍不住了，说二句：我只能,-99
2134844,狗头，草泥马的。,-99
1787146,而下午盘要留意的看盘重点：、雄安新区板块指数,-99
398528,都是万手单压着，怪不得涨不起来，操控股价,-99
1113247,继续跌，继续连阴模式,-99
3353583,可以走人了,-99
1810863,7.19收盘,-99
2669831,接受专家委员会的审核,-99
2566785,明天暴跌！！,-99
4469453,603226:菲林格尔关于签订募集资金三方监管协议,-99
718549,本次玻璃公告就是宣布日后子公司和母公司的关系,-99
994825,散户百分之九十赔钱，反向操作就可以了。我就认,-99
5148794,39.7卖了,-99
1490741,指数收于10306.92点,-99
4024086,630尾盘惊天大反转之股灾救市资金获大利!券商因,-99
22336,[图片],-99
4734597,我的生意越做越小:明年来过,-99
744345,好样的，你终于开始飞了。e,-99
3602855,季报最大的亮点在哪里？,-99
1423193,跟期货走势差不多。pvc跌的那么狠。三友也好不,-99
1845284,兴业投资：欧银“伪鸽”欧元大涨 “通俄门”升,-99
2840171,阶段性”补货接近尾声 成品油后市仍不乐观,-99
2017265,筹码被骗了个光溜溜，气死老子了,-99
4651437,七一必涨，只进不出[俏皮][俏皮][俏皮][俏皮][,-99
2965885,2B 250短线股民，你们急着买棺材下地？,-99
4377107,一句话，卖卖卖…跑跑跑…，想看结果的去看江阴,-99
1696516,股市里面资金少，新股不停进入，市场股票越来越,-99
3599510,主力有意压价，近期必有异动。,-99
3447921,我猜今天有,-99
4774319,恒为科技，吧里都在歌颂你，你真的是白马吗？？,-99
1124527,越跌越买 黄金坑,-99
1118095,有看头，看表现[赞],-99
3479590,大家要做好心理准备，早做打算了！,-99
3857423,601789:宁波建工独立董事关于全资子公司向关联,-99
464445,《雄安新区：巨力索具 002342 今必涨停！》,-99
2698918,东方通信股东大会（11月14日）之后随时停牌,-99
